ResearchCenter,Researcher,Topic
KATK,"Muhammad Attamimi, B.Eng., M.Eng., Ph.D.","Computer Science and Engineering, with particular expertise in smart Phone Application, indonesian: Android, online Shopping, physical World, negative Emotions, multimodal Information, visual Information, color Information, human and Robot Interaction, dynamic Environment, simultaneous localization and mapping, building Relationships, incremental Clustering, speech Introduction, image Processing, rating System, lane detection, stereo camera, landing Area, humming, light Detection and Ranging, single Feature, pictures Taken, road, infrared Camera, motor Speed, marine Safety, gaussian Mixture Model, picture Introduction, derivative Controller, inertial Measurement, scanning Process, sensor Gas, audio Signal, input Level, and success Rate."
KATK,"Atar Fuady Babgei, S.T., M.Sc.",
KATK,"Joko Lianto Buliali, Prof., Dr., Ir., M.Sc.","Computer Science and Engineering, with particular expertise in demographic Data, training Data, synthetic Data, state Machine Diagram, speaker Identification, time Traffic Information, next State, class Imbalance, getting Information, gaussian Mixture Model, development Model, possible Values, exponential Smoothing, learning Experience, decomposition, visual Presentation, augmented Reality, monte Carlo Simulation, case study, praproses technician, the inside part, multiple Input Multiple Output, additional Data, time Duration, straight line, reciprocal relationship, jarak in Euclid, travel Speed, similarities, optimal Conditions, area Coordinates, network Model, main Parameters, logarithmic Ratio of Likelihood, computer Simulation, real System, closed System, spline Cubic, process Validation, climate Variables, and service Time."
KATK,"Endroyono, Dr., Ir., DEA","Computer Science and Engineering, with particular expertise in open Access, clustering Analysis, object Detection, patent Documents, geographic Information, computer network, convolutional Neural Networks, sentiment Classification, image Compression, financial statements, support Vector Machines, combination Method, adaptive Modulation, layer Optimization, arithmetic Coding, user Datagram Protocol, polynomial Regression, security System, digital Signature, wall of Fire, normalized cross-correlation, genetic Algorithms, field Programmable Gate Arrays, indonesian: Datagrams, received Power, minimum Mean Square Error Detector, nonlinear Distortion, medical Images, millimeter Waves, simulation Results, similarities, secret Key, energy Harvesting, technology Development, high Efficiency Video Coding, complexity Reduction, pracode Lines, dynamic Range, nearest Neighbors, bit Error Rate, access Point, wireless Power Transfer, and processing time."
KATK,"Chastine Fatichah, Prof., Dr. Eng., S.Kom., M.Kom.","Computer Science and Engineering, with particular expertise in average Accuracy, training Data, microscopic Image, random Decision Forest, long Short Term Memory Network, residual Neural Networks, batch Normalization, particle Swarm Optimization, gray Wolf Optimization, natural Language Processing, requirements Excavation, decision Tree, resNet, tumor Segmentation, wavelet Transform, spam, gaussian language, numerical Example, medical Images, road, deep Neural Networks, storage Capacity, lossless Image Compression, leukocytes, method Compress, network Model, opinion Mining, filtering, cost estimation, high Resolution, robot, peak Signal, and viable Solution."
KATK,"Muhammad Hilman Fatoni, S.T., M.T.","Data Compression32%, Engineering, and Medicine and Dentistry, with particular expertise in blockchain, complex Pattern, encryption System, expected Outcome, interpreter, learning Algorithm, level Compression, linear Modeling, social Situation, space Requirement, time Consumption, training Session, virtual Reality, wavelet Transforms, wheeler Transform, multi sensor, active Research, computing Time, duty Cycle, electroencephalograph, experimental Result, joints (Structural Components), major Parameter, microcontroller, optimization Method, prosthesis, radiation Hazard, syringe Pump, two Dimensional, ultrafiltration, activities of Daily Living, biometry, brain Ventricle, cerebrovascular Disease, early Diagnosis, echography, feature Extraction, functional Electrical Stimulation, glomerular Filtration Rate, hand Movement, hemiplegia, hormone Metabolism, joint Function, mortality Rate, physical Disease by Body Function, vascularity, ventricle of Heart, and walking Ability."
KATK,"Mochamad Hariadi, S.T., M.Sc., Ph.D.",
KATK,"Shintami Chusnul Hidayati, S.Kom., M.Sc., Ph.D.","Computer Science, with particular expertise in game Applications, indonesian: Multilingual, big Data, random Decision Forest, cyber ​​crime, support Vector Machines, dictionary Learning, resNet, processing time, and local features."
KATK,"Nada Fitrieyatul Hikmah, S.T., M.T.","Computer Science, Medicine and Dentistry, and Engineering, with particular expertise in linear Analysis, tumor Detection, radial Basic Functions, v Cellular Network, fuzzy Mathematics, improve Performance, software Development, computer Hardware, implant Planning, embedded Systems, healthy Subjects, wavelet Transform, coronary Arteries, muscle Injuries, dermatoscopes, electrocardiogram, phonocardiografi, premature Ventricular Contractions, high Intensity Interval Training, mammography, cell Membrane, malignant Neoplasm, non-Communicable Diseases, diabetic Retinopathy, segments ST, fingertips, ultrasonography, root Mean Square, nonlinear Analysis, time Domain, filter Median, test Results, histogram, bone Implants, conductive Fabric, three Dimensional Models, digital Filter, functional disorders, perceptron, temporary, stationary Bike, ten Years, support System, male Subject, nearest Neighbors, decomposition Rate, network Level, fluid Viscosity, and blood Volume."
KATK,"Rarasmaya Indraswari, Dr., S.Kom.","Computer Science and Engineering, with particular expertise in transition Area, tumor Detection, spatial Information, v Cellular Network, private vehicle, absolute Average Brightness Error, image Contrast, word Planting, territory Merger, fast Development, segmentation Process, calculation Formula, case study, memory Resources, sampling Technique, relevance Feedback, bank Filter, natural Image, wavelet Decomposition, cost Function, regional Background, basic Model, k value, design Science Research, filtering, perceptron, model Tree, data preprocessing, decomposition Process, and process Area."
KATK,"Astria Nur Irfansyah, S.T., M.Eng., Ph.D.","Computer Science and Engineering, with particular expertise in diagram Scheme, pictures Taken, visual Information, neural Networks, smart Card, metastable state, signal Band Width, bandwidth Operations, automatic doors, degree program, computational Process, security Management System, open Source, core Technology, video Transmission, translation Vector, event-Time, linear feedback shift register, landing Area, harmonic, hydrogen Sulfide, interconnection, building Security, feedback Benefits, microelectronics, multi level, picture Introduction, bit Resolution, sensor Gas, global Positioning System, engineering Energy, and integrated Self-Test."
KATK,"Wijayanti Nurul Khotimah, S.Kom., M.Sc.","Computer Science and Engineering, with particular expertise in forensic expert, genetic Algorithms, indonesian: Android, playing games, training Data, digital Information, total population, slow Convergence, communication Problems, dynamic Time Warping, long Calculation, feature Map, decision Tree, translation System, identification System, class Variance, differential evolution algorithm, local features, segmented image, crossover operator, range finder, circle Area, bank Filter, receptive Field, reciprocal relationship, sensing Ability, similarities, palate, using Sensors, deep Learning Methods, multiscale, user Experience, sensor Fusion, picture Enhancement, system Control, navigation System, transition Strategy, selection Strategy, early Stage, engineering Energy, cutting edge techniques, and introduction level."
KATK,"Hendra Kusuma, Dr., Ir., M.Eng.Sc.","Computer Science and Engineering, with particular expertise in linear Discriminant Analysis, monitor Application, ultraviolet Light, pictures Taken, window, autonomous Vehicles, academic Background, amazon Web Services, simultaneous localization and mapping, vending Machine, deep Learning Methods, ontology, people with visual impairment, printer, mobile Robots, compass Sensor, rating System, banking System, warning System, yOLO, stereo camera, potential Applications, block Picture, sound Energy, photodiode, gabor's Little Wave, road, passive Optical Networks, human life, measurement Error, main Components, long Short Term Memory, microcontroller, active Research, inertial Measurement, path Planning, detection Room, reed Switch, joints (Structural Components), pressure Sensor, optical Fiber, renewable Energy Sources, and phased Arrangement."
KATK,"Renny Pradina Kusumawardani, S.T., M.T.","Computer Science and Engineering, with particular expertise in model Accuracy, identification Algorithm, level Sentiment Analysis, committee Member, some Criteria, generated Clusters, open Data, polarity Classification, atomic Concept, scientific Papers, human Resources Manager, support Vector Machines, supervision Methods, popular Approaches, human Experience, malicious software, emotional Behavior, heat Map, mining Process, tourism Sector, network Intrusion Detection System, case study, techniques for Ordering Preferences Based on Similarity to Ideal Solutions, system Diagnostics, feature Extraction, experiment Results, production Line, methodically Hybrid, development, case Company, manufacturing Company, data preprocessing, and telecommunication."
KATK,"Ronny Mardiyanto, S.T., M.T., Ph.D.","Computer Science and Engineering, with particular expertise in external Actors, shift Algorithm, robotics Applications, developing Economy, convolutional Neural Networks, position Error, good Performance, voice Communication, manipulator, estimation Method, odometers, particle Swarm Optimization, template Matching, structural Equations, camera Position, traceability System, color features, face image, path planning, multiobjective Genetic Algorithms, finite Element Analysis, baterai Lithium-Ion, humming, pictures Taken, harmonic, experiment Results, electric Vehicles, dC-to-DC converter, upgrade Converter, human Eye, direct Current Motor, maximum Power Point Tracking, picture Introduction, battery Charger, inertial Measurement, rotor, units of Measurement, duty Cycle, and constant Voltage."
KATK,"Muhtadin, S.T., M.T.",
KATK,"Totok Mujiono, Dr. Eng., Ir., M.Ikom","Engineering, with particular expertise in component Analysis, field Programmable Gate Arrays, dichroic Mirror, humming, two Dimensions, optical Filters, experiment Results, electronic Nose, convolutional Neural Networks, main Components, ion Concentration, smoking, quartz Crystal Microbalance, incomplete Combustion, amplifier, flow Measurement, current Measurement, protein Fluoresens, sensor Networks, signal to Noise Ratio, sensor Bau, image Sensor, sensor Gas, glucose Sensor, instrumentation Systems, system Control, relay System, thermopylae, and living Body."
KATK,"Dini Adni Navastara, S.Kom., M.Sc.","Computer Science and Engineering, with particular expertise in training Dataset, early Detection, instagram, image Contrast, group Learning, word Planting, territory Merger, bidirectional Encoder Representation Of Transformers, social Pressure, direction, bank Filter, repetitive, humming, fire Detection, eye Pictures, histogram, english-Based Segmentation Method, metric, space Search, hierarchical Clustering, local Binary Patterns, general Spatial Patterns, decomposition Process, and fuzzy Logic Systems."
KATK,"I Made Yulistya Negara, Prof., Dr., S.T., M.Sc.",
KATK,"Supeno Mardi Susiki Nugroho, Dr., S.T., M.T.",
KATK,"Joko Priambodo, S.T., M.T.","Computer Science and Engineering, with particular expertise in management Accountant, desktop Application, indonesian: Android, dashboard, object Detection, energy Consumption, application System, confidence Score, clean water, industrial Activities, desired Direction, production Area, current Load, damage Detection, motor Speed, phase Composition, conveyor, method Manual, mixer Motor, physical Parameters, electrocoagulation Process, automatic Control System, output Voltage, fluid Viscosity, and contact Time."
KATK,"I Ketut Eddy Purnama, Prof., Dr., S.T., M.T.",
KATK,"Mauridhi Hery Purnomo, Prof., Dr., Ir., M.Eng.",
KATK,"Djoko Purwanto, Dr., Ir., M.Eng.","Computer Science and Engineering, with particular expertise in training Data, pictures Taken, manipulator, deep Learning Methods, speech Introduction, yOLO, single Feature, road, gas Leak, motor Speed, remotely Operated Underwater Vehicles, support Vector Machines, track length, pattern Recognition, target Position, robot Football, nasal System, navigation System, success Rate, starting Point, and fast Fourier Transform."
KATK,"Diana Purwitasari, Prof., Ir., Dr., S.Kom., M.Sc.","Computer Science and Engineering, with particular expertise in annotation, training Dataset, emotion Detection, subject Domain, information Extraction, text Classification, microservices, semantic Role Labeling, natural Language Processing, word Planting, related Questions, bidirectional Encoder Representation Of Transformers, language Resources, social Pressure, nave Bay, joint authorship, spam, genetic Algorithms, fluid Flow, early Detection, outlier Detection, dirichlet, water Distribution, electric Power Distribution, frequency Terms, human life, loss of Income, code of Ethics, support Vector Machines, statistical Moment, cold Start, particle Swarm Optimization, main Stage, household Customers, three Dimensional Printing, amplifier Yes, filtering, data preprocessing, virtual Reality, summary, motion Sensor, data Series, ideal Solution, sampling Technique, and nearest Neighbors."
KATK,"Reza Fuad Rachmadi, S.T., M.T., Ph.D.",
KATK,"Agus Budi Raharjo, Dr., S.Kom., M.Kom.","Earth and Planetary Science, Computer Science, and Engineering, with particular expertise in earthquake Epicenter, indonesia, sea Level Rise, root-Mean-Square Error, geographically Weighted Regression, sentinel-5P, land Surface Temperature, agricultural land, algorithm Chart, iterative Algorithm, monolithic Architecture, related Languages, training Dataset, feature Extraction, distribution Network, bidirectional Long Short-Term Memory Networks, dictionary of Words, support Vector Machines, deep Learning Methods, word Planting, printer, class Prediction, bidirectional Encoder Representation Of Transformers, social Pressure, level of Participation, object-oriented software, electric Power Distribution, main Factors, lighting Conditions, customization, asset Management, end Users, estimated Distance, high Growth Rate, and computer Vision."
KATK,"Muhammad Rivai, Dr., S.T., M.T.","Engineering, with particular expertise in field Programmable Gate Arrays, light Detection and Ranging, photovoltaic, experiment Results, electronic Nose, internet of Things, road, capacitive, motor Speed, ethanol Concentration, fuzzy Logic Control, support Vector Machines, microcontroller, quartz Crystal Microbalance, particle Swarm Optimization, pattern Recognition, sensor Networks, respon Sensor, infrared Sensor, silicon Dioxide, nasal System, navigation System, success Rate, and fast Fourier Transform."
KATK,"Imam Robandi, Prof., Dr., Ir., M.T.","Engineering, with particular expertise in peak Load, generation Costs, input Power, transfer Function, simulation Results, system Performance, feedback Control, direct Current Motor, controller Parameters, integral Controller, derivative Controller, estimated Load, distribution System, system Control, stabilizer, distributed Energy Resources, and maximum Power Point."
KATK,"Nisfu Asrul Sani, S.Kom., M.Sc.",
KATK,"Tri Arief Sardjono, Prof., Dr., S.T., M.T.","Computer Science, Medicine and Dentistry, and Engineering, with particular expertise in big Data Analytics, linear Discriminant Analysis, wide Applications, object Detection, tumor Detection, knowledge Domain, cloud Infrastructure, jaringan U, window, vending Machine, support Vector Machines, tracking Method, neighbor Method, ontology, data Mining, knowledge Discovery in Databases, hierarchical Clustering, parkinson's disease, performance Comparison, motion Planning, perseptron Multilapis, 3d reconstruction, image Segmentation, banking System, cosine Transformation, health Care Costs, lips, early Diagnosis, your electronics, consumer, mammography, malignant Neoplasm, streets, spectroscopy, heart Ventricles, two Dimensions, fundamental Frequency, gabor's Little Wave, passive Optical Networks, average Absolute Error, similarities, main Components, initial Curve, maximum, walking Man, long Short Term Memory, deep Learning Methods, microcontroller, deformable Models, wavelength Division Multiplexing, panel Surya, automatic Speech Recognition, data Collection, filtering, absolute Difference, development, joints (Structural Components), robot Football, optical Fiber, measurement System, and backbone."
KATK,"Riyanarto Sarno, Prof., Drs., Ec., Ir., M.Sc., Ph.D.","Computer Science and Engineering, with particular expertise in k-Nearest Neighbor Algorithm, control Flow, note Data, anomaly Detection, fraud Detection, disambiguation, petri Nets, fuzzy Mathematics, process Models, ontology, multi-Objective Optimization, goal Programming, word Planting, process Discovery, decision Tree, operational Procedures, mining Process, information Systems, case study, scale Factor, medical Images, electronic Nose, metric, particle Swarm Optimization, opinion Mining, filtering, and life cycle."
KATK,"Bambang Setiawan, Dr., S.Kom., M.T.","Computer Science, with particular expertise in detection Accuracy, user Interface, indonesian: Android, training Data, responsive Design, composite Indicator, minority Class, network Traffic, confusion Matrix, getting Information, support Vector Machines, connection Request, data preprocessing, voice over Internet Protocol (VoIP), open Source, classification Stage, level Late Balarm, and peak signal to noise ratio."
KATK,"Rachmad Setiawan, Dr., S.T., M.T.","Computer Science, Medicine and Dentistry, and Engineering, with particular expertise in android App, potential Applications, training Data, pearson Correlation, fuzzy Mathematics, improve Performance, random Number Generation, galvanic Skin Response, similarity Score, wavelet Transform, doctor, electrocardiogram, public health, premature Ventricular Contractions, high Intensity Interval Training, cell Membrane, noise Reduction, non-Communicable Diseases, vascular Diseases, in polyvinyl chloride, segments ST, inflammation of the mucous membrane, root Mean Square, battery Life, degree of Saturation, time Domain, feature Extraction, test Results, conductive Fabric, stimulant, peristaltic Pump, syringe Pump, realization, engineering, temporary, duty Cycle, learning System, hemodialysis Delivery System, space Pressure, nearest Neighbors, decomposition Rate, fluid Viscosity, blood Volume, periodic Time, and magnetron magnet."
KATK,"Rizka Wakhidatus Sholikah, Dr.S.Kom.","Computer Science and Engineering, with particular expertise in user Interface, mobile App, data Seconds, early Detection, jaccard similarity, memory Performance, thesaurus Construction, creation of Institutions, topic Modeling, natural Language Processing, marking Parts of Speech, network Protocol, gradient Descent, vGG-, queuing system, internet of Things, special Material 2., microcontroller, ozon(O3), and energy Use."
KATK,"Daniel Oranova Siahaan, Prof., S.Kom., M.Sc., PDEng.","Computer Science and Engineering, with particular expertise in trade Adoption, annotation, unified Modeling Language, sarcasm Detection, urutan Diagram, effect Relationship, bidirectional Long Short-Term Memory Networks, convolutional Neural Networks, conceptual Model, ontology, gray Wolf Optimization, automatic Question Generation, word Planting, character Introduction, requirements Excavation, bidirectional Encoder Representation Of Transformers, case study, difficulty Level, small and Medium Enterprises, yOLO, class diagram, electronic government, mobile App, dirichlet, membership Functions, the final result, reciprocal relationship, frequency Terms, test Capability, adaptive Method, optimization Methods, machine Learning Methods, microcontroller, policy maker, opinion Mining, appraiser, forecasting Software, analytical Hierarchy Process, interdependence, sensor Ultrasonik, knot, and solution Engineering."
KATK,"Hudan Studiawan, S.Kom., M.Kom., Ph.D.","Computer Science and Engineering, with particular expertise in malicious Activity, timeline Analysis, sentiment Analysis, annotation, future Directions, authentication, structured Query Language, note Data, performance Evaluation, digital Forensics, bidirectional Long Short-Term Memory Networks, cybersecurity, unmanned Aerial Vehicles, superior Performance, service Quality, difference Value, named Entity Recognition, auto Encoder, decomposition, attacker, decision Tree, brute Force Attack, intrusion Detection System, learning System, steganography, case study, honey place, genetic Algorithms, medical Data, humming, electric Power Distribution, feature Extraction, test Image, mean Square Error, similarities, microcontroller, route Optimization, image Processing, absolute Difference, key points, sample Space, closed Circuit, integer Transformations, volume Cairan, and time Digital."
KATK,"Nanik Suciati, Prof., Dr. Eng., S.Kom., M.Kom.","Computer Science and Engineering, with particular expertise in average Accuracy, annotation, microscopic Image, generative Adversarial Networks, graph Convolutional Networks, long Short Term Memory Network, caption, event Matrix, taking Pictures, k-means clustering, introduction to Sign Language, 3d reconstruction, tumor Segmentation, identification System, wavelet Transform, computer Vision, cultural Heritage, yOLO, reference Image, histogram, storage Capacity, similarities, suitability, connected Components, fucking Spline, leukocytes, co-Occurrence Matrix, saturation Value, particle Swarm Optimization, filtering, inner Surface, cross section, retrieval System, nearest Neighbors, and control Point."
KATK,"Surya Sumpeno, Dr., S.T., M.Sc.",
KATK,"Dwi Sunaryono, Dr., S.Kom., M.Kom.","Computer Science and Engineering, with particular expertise in algorithm Chart, indonesian: Android, fraud Detection, process Fragment, dependency Graph, close Relationships, color Correction, process Discovery, signature Identification, gradient Boosting, enterprise Resource Planning, analytical Hierarchy Process, information Systems, steganography, subnet, wavelet Transform, spatial index, human Member, filter Weight, missed detection, audio Features, statistical Features, random Forest, leaf Area Index, main Components, near Field Communications, mobile Communications, scheduling Parameters, stream Work, estimated Distance, change Process, learning System, spectrogram, and discrete Fourier Transform."
KATK,"Kelly Rossa Sungkono, S.Kom., M.Kom.","Computer Science, with particular expertise in deep Neural Networks, opinion Mining, and engineering."
KATK,"Eko Agus Suprayitno, S.Si., M.T.","Computer Science and Engineering, with particular expertise in multiple Languages, vending Machine, assistive Technology, frequency Domain Analysis, photovoltaic, gate, artificial Heart, angular Velocity ω, wireless Communications, serial Communication, energy Conservation, dC-to-DC converter, microcontroller, fan Motor, water pump, prosthesis, engineering, smart Home, and vital Signs."
KATK,"Erma Suryani, Prof., S.T., M.T., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in knowledge Base, retail Business, data Seconds, influencing Factors, causal Relationships, private vehicle, customer Satisfaction, analysis Context, software Developer, information Systems, deep Learning Techniques, network Analysis, sharing Knowledge, regional Economics, indonesia, incentives, traffic congestion, independence, food security, inventory Management, tour Packages, market share, household Income, scenario Development, theoretical Perspective, legislation, cell phone, oil Production, restructuring, procurement System, fossil Fuels, logistics Costs, numerical Example, flow diagram, renewable energy, greenhouse Gases, reciprocal relationship, financial Incentives, asset Management, design Science Research, performance Improvement, consumer Behavior, relative Sensitivity, photonic Crystal Fiber, and engineering Energy."
KATK,"Heri Suryoatmojo, Prof., S.T., M.T., Ph.D.","Engineering, with particular expertise in genetic Algorithms, finite Element Analysis, graphical User Interface, baterai Lithium-Ion, artificial Neural Networks, unmanned Aerial Vehicles, dC-to-DC converter, upgrade Converter, setting Time, pulse Width Modulation, direct Current Motor, brushless DC Motor, compressed Air Motor, particle Swarm Optimization, parabola, maximum Power Point Tracking, diesel Power Plant, water pump, robot, global Positioning System, constant Voltage, engineering Energy, and wireless Power Transfer."
KATK,"Hatma Suryotrisongko, S.Kom., M.Eng., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in mobile App, monolithic Architecture, indonesian: Android, bayesian Classification, smart City, help Desk, citizen Complaints, emotional Behavior, design Patterns, business Process, network Protocol, twitter, xGBoost, dIY, stub, parts of body, architectural Design, test Results, road Accidents, waterproof coating, energy Use, driving Simulator, engineering Energy, success Rate, and service Life."
KATK,"Amalia Utamima, S.Kom., M.BA., Ph.D.","Computer Science, Social Sciences, and Engineering, with particular expertise in evolutionary Algorithms, metaheuristic Algorithms, machine Learning Algorithms, reduced Algorithm, sentiment Analysis, computer Support, automation Support, short Distance, convolutional Neural Networks, default Configuration, support Vector Machines, heuristic Method, deep Learning Methods, round Number Program, operational Research, vehicle Routes, extended Version, security level, drinking Water, indonesia, crime, big city, manager, motor Vehicle Theft, comparative Study, tabu, literature Review, non-Dominated Sorting Genetic Algorithm II, product Distribution, straight line, construction Site, position Issues, mathematical Model, field Operations, ant Colony Optimization, and layout Optimization."
KATK,"Adhi Dharma Wibawa, Dr., S.T., M.T.","Computer Science and Engineering, with particular expertise in machine Learning Algorithms, topic Modeling, rehabilitation Program, identification System, case study, nave Bay, electronic government, noise Artifacts, the inside part, early Detection, binary Digits, time Domain, electroencephalography, image of Irises, natural gas, infrastructure, video camera, daily Life, similarities, pearson Linear Correlation Coefficient, absolute Value, filtering, moon Period, management Chain, virtual Reality, game Level, and severity Level."
KATK,"Diah Puspito Wulandari, Dr., S.T., M.Sc.","Computer Science and Engineering, with particular expertise in morphological Analysis, performance Evaluation, medical Information, artificial intelligence, purchase Decision, simulation Environment, pre-trained model, coefficient Value, music Information Retrieval, visual Stimulation, butterworth screening, subband Signal, case study, electrical Activity, frame Analysis, noise Artifacts, adaptive Filter, statistical Features, file Format, test Results, internet of Things, earth Fault, similarities, hidden Layer, statistically Significant Differences, sound Signal, spectrogram, short Term Fourier Transform, and recurring Time."
KATK,"Umi Laili Yuhana, Dr., Ir., S.Kom., M.Sc.","Computer Science and Engineering, with particular expertise in auto Tools, learn Mathematics, open Access Initiative, text Classification, source Code, adaptive Learning, electronic Learning, object-Relational Mapping, natural Language Processing, word Planting, learning Experience, introduction to Speech Emotions, business Process, information Systems, case study, data Mining Techniques, development Team, cross Fold Validation, human Member, rainwater, pareto Analysis, knowledge Base, cost Efficiency, road, lighting Conditions, smart City, amazon Web Services, deep Learning Methods, metric, final score, three Dimensional Printing, land Use, functional Requirements, service Platform, analytical Hierarchy Process, recursive, english Based Expert System, the main purpose, and polynomial Time."
KATK,"Eko Mulyanto Yuniarno, Dr., S.T., M.T.",
KATK,"Anny Yuniarti, Dr., S.Kom., M.Comp.Sc.","Computer Science and Engineering, with particular expertise in adaptive Algorithm, speech Detection, training Images, human Interaction, generation Network, web Services, packing Problems, electronic Media, regression Method, facial Recognition, praproses technician, differential evolution algorithm, crossover operator, comparative Analysis, the front, bank Filter, geometric Features, texture Features, energy Function, color Pictures, histogram, road, similarities, fucking Spline, finite-State Machines, multiscale, everyday Objects, local Search, user Experience, picture Enhancement, local Binary Patterns, data preprocessing, and picture Edge."
MKPI,"Ira Mutiara Anjasmara, S.T., M.Phil., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in gravitational Anomaly, the atmosphere, deformation is required, line of Sight, aftershocks, mud Mountain, indonesia, total Electron Content, support Vector Machines, time Series, sudan, tomography, comparative Analysis, infrastructure, rainy season, and deployment."
MKPI,"Agung Budi Cahyono, S.T., M.Sc., DEA.",
MKPI,"Mohammad Rohmaneo Darminto, S.T., M.Sc.",
MKPI,"Eko Yuli Handoko, Dr., S.T., M.T.","Earth and Planetary Science and Engineering, with particular expertise in undercurrent, asia, tsunami Wave, indonesia, japan, total Electron Content, warfare, the Nina (The Nina), review, land subsidence, salinity, samudra India, pacific Ocean, kalman Sieve, strait, time Series, tomography, rainwater, data GPS, water Electrolysis, road, electrode Type, amount of Dissolved Solids, salt Concentration, continuous Monitoring, commercial Software, and fixed Wing."
MKPI,"Teguh Hariyanto, Dr.-Ing., Ir M.Sc.",
MKPI,"Noorlaila Hayati, Dr.-Ing., S.T., M.T.","Earth and Planetary Science and Engineering, with particular expertise in river water, the atmosphere, batimeter, phytoplankton, backscatter, indonesia, soil Moisture, concentration (Value), atmospheric Correction, peatlands, digital Terrain Model, suspended Sediment, mud spray, time Series, fishing Spot, coral reefs, vulnerable Area, temperature Data, numerical Studies, and turbine."
MKPI,"Lalu Muhamad Jaelani, Prof., S.T., M.Sc., Ph.D.",
MKPI,"Putra Maulida, S.T., M.T., Ph.D.","Earth and Planetary Science and Engineering, with particular expertise in tension Analysis, deformation is required, el Nino-Southern Oscillation, line of Sight, total Electron Content, warfare, the Nina (The Nina), creation of grids, remote Sensing, risk Reduction, land subsidence, spatial Resolution, block Rotation, samudra India, time Series, geographic Information System (GNSS), solar Flare, data GPS, field Measurements, horizontal Shift, and right time."
MKPI,"Ardy Maulidy Navastara, S.T., M.T.","Earth and Planetary Science, Social Sciences, and Engineering, with particular expertise in suburban area, indonesia, entrepreneurship, pedestrians, pulau, tK, metropolitan Area, electrical Network Analysis, defined Limits, internet of Things, fire Protection, and emergency response."
MKPI,"Prananda Navitas, S.T., M.Sc., Ph.D.","Risk Analysis23%, School Buildings23%, Beam Section100%, Finite Element Analysis98%, Social Sciences, Indonesia79%, Project Success26%, Public-Private Partnership71%, Social Understanding23%, Sustainable Development23%, Public Education23%, General Procurement71%, Legislation38%, Government Program23%, System Expert23%, and Literature Review61%, with particular expertise in river bed, hydraulic Conductivity, architectural Design, dynamic Load, social Benefits, nonconductor, scientific Methods, smartphone Device, development Area, green Building, image Quality, railway, saudi Arabia, bangladesh, cOVID, renewable energy, covid epidemics, nutrition Policy, social Needs, organizational Resilience, environmental Quality, security Measures, supply Chain Management, manager, alcoholic beverages, pedestrians, work, best Practices, literature Review, microbes, earth's Surface Sediment Transport, initial Conditions, riverside, numerical Model, and expansive Clay."
MKPI,"Siti Nurlaela, S.T., M.Com., Ph.D.","Engineering, with particular expertise in ground Acceleration, finite Element Analysis, mixing Design, swelling Index, rainfall Intensity, land, land Liquefaction, deep Digging, soil Improvement, climate Change, computer Simulation, sandy soil, basic land, engineering Geotechnics, groundwater Level, test Stack, and field Test."
MKPI,"Nurwatik, S.T., M.Sc.",
MKPI,"Adjie Pamungkas, Prof., S.T., M.Dev.Plg., Ph.D.",
MKPI,"Danar Guruh Pratomo, S.T., M.T., Ph.D.",
MKPI,"Endah Rokhmati Merdika Putri, S.Si., M.T., Ph.D.","Economics, Econometrics and Finance, Mathematics, and Engineering, with particular expertise in stock Price, specific Industries, incentives, investor, catastrophic Damage, islamic Finance, credit, hedge, business Model, financial Markets, portfolio Selection, regime Change, genetic Algorithms, spatial Discretization, convolutional Neural Networks, time Step, homotopy Perturbation Method, model Binomial, reproduction Number, american option, pDE, parabola, symmetry Breaking, black-Scholes equation, non-Linear Partial Differential Equations, schr Dinger equation, balance Solution, utility Theory, brick Building, lognormal Distribution, simple Function, geometric Brownian Motion, carbon Price, simulation Results, hydraulics, rainfall Intensity, active Cases, semiconductor Catalyst, control Constraints, optimization Problems, long Short Term Memory, inversion Method, deep Learning Methods, motion Model, predictive Control Models, risk Avoidant, contract Period, potential Losses, constant Rate, and country Variables."
MKPI,"Karina Pradinie Tucunan, S.T., M.Eng.",
ILB,"Ervina Ahyudanari, Ir., ME., Ph.D.","Social Sciences and Engineering, with particular expertise in ecotourism, indonesia, market share, local government, regional Development, long Distance Travel, potential Conflict, tourism Sector, literature Review, artificial Aggregates, alkaline Activator, remote area, exhaust Gas, road, mass Loss, good Durability, support Vector Machines, global warming, power plants, level Flight, alternative Binder, concrete Surface, density Polyethylene, vacuum space, slip Resistant, and starting Point."
ILB,"Pujo Aji, Dr., techn., S.T., M.T.",
ILB,"I Gusti Ngurah Antaryama, Ir., Ph.D.","Earth and Planetary Science, Engineering, and Arts and Humanities, with particular expertise in bodies of Water, river Dynamics, vertical Distribution, climate Factors, indonesia, community, environmental Impact Assessment, development Project, weather Station, the tropics, main Reason, electrical Energy, daylight Factor, road, rear Window, airtight, similarities, domestic Energy Consumption, physical Model, scale Models, sustainable Development, porosity, engineering Energy, residential Units, bibliometric, digital culture, materiality, urban, and scientific Publications."
